query	pid	slen	pComplete	tID	tComplete	species	strain	qcovs	pident	q.start	q.end	s.start	s.end	evalue	staxid
Calb_Hyr1	XP_002546360.1	1952		XM_002546314	no-ends	Candida tropicalis	MYA-3404	96	45.231	12	324	23	342	3.79e-80	294747
Calb_Hyr1	XP_717330.2	941		XM_712237	no-ends	Candida albicans	SC5314	100	43.333	1	324	11	339	9.270000000000001e-79	237561
Calb_Hyr1	XP_002545452.1	1383		XM_002545406	no-ends	Candida tropicalis	MYA-3404	97	45.37	8	324	18	340	2.85e-78	294747
Calb_Hyr1	XP_002547620.1	1689		XM_002547574	no-ends	Candida tropicalis	MYA-3404	95	45	10	317	20	338	4.31e-78	294747
Calb_Hyr1	XP_002421951.1	943		XM_002421906	no-ends	Candida dubliniensis	CD36	97	44.548	10	324	20	339	5.15e-78	573826
Calb_Hyr1	XP_002421924.1	945		XM_002421879	no-ends	Candida dubliniensis	CD36	97	44.548	10	324	20	339	4.09e-77	573826
Calb_Hyr1	XP_715137.2	941		XM_710044	no-ends	Candida albicans	SC5314	97	43.925	10	324	20	339	9.33e-77	237561
Calb_Hyr1	XP_002547617.1	827	no-right	XM_002547571	no-ends	Candida tropicalis	MYA-3404	98	42.073	5	324	15	341	3.44e-76	294747
Calb_Hyr1	XP_002421505.1	2113		XM_002421460	no-ends	Candida dubliniensis	CD36	99	43.902	3	324	13	339	3.88e-76	573826
Calb_Hyr1	XP_002421668.1	1433		XM_002421623	no-ends	Candida dubliniensis	CD36	99	44.073	2	324	13	339	2.12e-75	573826
Calb_Hyr1	XP_002547615.1	749		XM_002547569	no-ends	Candida tropicalis	MYA-3404	100	40.964	1	324	11	341	2.76e-75	294747
Calb_Hyr1	XP_711686.2	1562		XM_706594	no-ends	Candida albicans	SC5314	99	42.683	3	324	13	339	9.33e-75	237561
Calb_Hyr1	XP_718630.1	1526		XM_713537	no-ends	Candida albicans	SC5314	100	42.424	1	324	11	339	1.2e-73	237561
Calb_Hyr1	XP_714201.2	714		XM_709108	no-ends	Candida albicans	SC5314	100	43.235	1	324	7	343	7.77e-72	237561
Calb_Hyr1	XP_002420246.1	1279		XM_002420201	no-ends	Candida dubliniensis	CD36	97	43.925	10	324	20	339	8.53e-70	573826
Calb_Hyr1	XP_715535.1	1308		XM_710442	no-ends	Candida albicans	SC5314	100	43.333	1	324	11	339	8.71e-70	237561
Calb_Hyr1	XP_003868553.1	706		XM_003868505	no-ends	Candida orthopsilosis	Co 90-125	96	44.207	11	324	21	342	9.19e-70	1136231
Calb_Hyr1	XP_002420375.1	649		XM_002420330	no-ends	Candida dubliniensis	CD36	97	44.144	10	324	18	346	1.4099999999999998e-68	573826
Calb_Hyr1	XP_003868554.1	857		XM_003868506	no-ends	Candida orthopsilosis	Co 90-125	96	44.207	11	324	21	342	6.41e-67	1136231
Calb_Hyr1	XP_717969.1	1225		XM_712876	no-ends	Candida albicans	SC5314	97	40.187	1	315	11	330	3.6999999999999997e-66	237561
Calb_Hyr1	XP_002421681.1	1227		XM_002421636	no-ends	Candida dubliniensis	CD36	100	38.485	1	324	11	339	1.34e-62	573826
Calb_Hyr1	XP_002545510.1	656		XM_002545464	no-ends	Candida tropicalis	MYA-3404	63	50.704	120	324	8	220	3.38e-61	294747
Calb_Hyr1	XP_036665264.1	1671		XM_036808537	no-ends	Candida parapsilosis	NA	100	42.604	1	324	10	341	4.91e-60	5480
Calb_Hyr1	XP_020061729.1	329	no-ends	XM_020208761	no-ends	Suhomyces tanzawaensis	NRRL Y-17324	97	35.976	8	324	6	329	6.26e-54	984487
Calb_Hyr1	XP_020063353.1	339	no-right	XM_020211296	no-ends	Suhomyces tanzawaensis	NRRL Y-17324	99	34.731	2	324	10	339	1.4599999999999998e-52	984487
Calb_Hyr1	XP_002547616.1	1626		XM_002547570	no-ends	Candida tropicalis	MYA-3404	64	44.495	115	324	1	218	1.3e-50	294747
Calb_Hyr1	XP_714246.2	1085		XM_709153	no-ends	Candida albicans	SC5314	97	36.196	10	324	19	341	6.01e-50	237561
Calb_Hyr1	XP_020062061.1	363	no-right	XM_020208454	no-ends	Suhomyces tanzawaensis	NRRL Y-17324	97	36.196	10	324	19	339	1.41e-48	984487
Calb_Hyr1	XP_002418802.1	1277		XM_002418757	no-ends	Candida dubliniensis	CD36	93	36.19	10	313	19	332	4.2399999999999996e-48	573826
Calb_Hyr1	XP_020062062.1	608		XM_020207000	no-ends	Suhomyces tanzawaensis	NRRL Y-17324	91	38.111	28	324	37	341	6.29e-47	984487
Calb_Hyr1	XP_001485543.1	385		XM_001485493	no-ends	Meyerozyma guilliermondii	ATCC 6260	98	36.637	5	324	53	374	1e-46	294746
Calb_Hyr1	XP_001523105.1	3496		XM_001523055	no-ends	Lodderomyces elongisporus	NRRL YB-4239	100	34.154	1	324	10	329	2.64e-44	379508
Calb_Hyr1	XP_036664320.1	411		XM_036807488	no-ends	Candida parapsilosis	NA	94	35.423	18	324	29	345	4.18e-43	5480
Calb_Hyr1	XP_036665262.1	1640		XM_036808535	no-ends	Candida parapsilosis	NA	97	37.117	10	324	20	342	5.889999999999999e-43	5480
Calb_Hyr1	XP_001487825.1	1750		XM_001487775	no-ends	Meyerozyma guilliermondii	ATCC 6260	97	36.308	10	324	18	332	6.43e-43	294746
Calb_Hyr1	XP_036667771.1	420		XM_036811321	no-ends	Candida parapsilosis	NA	94	36.677	18	324	29	345	6.469999999999999e-43	5480
Calb_Hyr1	XP_036664319.1	414		XM_036807487	no-ends	Candida parapsilosis	NA	95	36.449	16	324	27	345	8.179999999999999e-43	5480
Calb_Hyr1	XP_001485548.1	1129		XM_001485498	no-ends	Meyerozyma guilliermondii	ATCC 6260	90	36.304	13	306	23	315	2.5899999999999998e-42	294746
Calb_Hyr1	XP_001482143.1	1111		XM_001482093	no-ends	Meyerozyma guilliermondii	ATCC 6260	98	35.417	7	324	9	333	8.289999999999999e-42	294746
Calb_Hyr1	XP_002547904.1	1038		XM_002547858	no-ends	Candida tropicalis	MYA-3404	99	34.954	2	324	9	333	1.36e-41	294747
Calb_Hyr1	XP_036664321.1	419		XM_036807489	no-ends	Candida parapsilosis	NA	94	36.335	18	324	29	345	5.06e-41	5480
Calb_Hyr1	XP_036668412.1	418		XM_036812035	no-ends	Candida parapsilosis	NA	94	34.796	18	324	27	343	5.51e-41	5480
Calb_Hyr1	XP_036664318.1	439		XM_036807486	no-ends	Candida parapsilosis	NA	91	35.463	28	324	39	346	1.1099999999999999e-39	5480
Calb_Hyr1	XP_006683698.1	333		XM_006683635		Yamadazyma tenuis	ATCC 10573	91	33.117	27	324	37	331	3.43e-38	590646
Calb_Hyr1	XP_002550128.1	1230		XM_002550082	no-ends	Candida tropicalis	MYA-3404	85	39.1	28	305	37	319	5.929999999999999e-38	294747
Calb_Hyr1	XP_036667770.1	410		XM_036811320	no-ends	Candida parapsilosis	NA	94	35.294	18	324	29	346	8.369999999999999e-37	5480
Calb_Hyr1	XP_036664322.1	437		XM_036807491	no-ends	Candida parapsilosis	NA	94	35.826	18	324	29	345	2.01e-34	5480
Calb_Hyr1	XP_003868555.1	774		XM_003868507	no-ends	Candida orthopsilosis	Co 90-125	91	35.484	27	324	38	345	2.2499999999999998e-34	1136231
Calb_Hyr1	XP_002550768.1	455		XM_002550722	no-ends	Candida tropicalis	MYA-3404	85	35.587	29	305	39	311	1.04e-32	294747
Calb_Hyr1	XP_036663837.1	438		XM_036806952	no-ends	Candida parapsilosis	NA	91	30.794	28	324	29	340	3.21e-32	5480
Calb_Hyr1	XP_002419003.1	534		XM_002418958	no-ends	Candida dubliniensis	CD36	98	30.909	7	324	17	342	8.25e-32	573826
Calb_Hyr1	XP_036665265.1	1714		XM_036808538	no-ends	Candida parapsilosis	NA	91	32.219	28	324	37	341	2.1e-31	5480
Calb_Hyr1	XP_717774.1	511		XM_712681	no-ends	Candida albicans	SC5314	98	32.432	7	324	17	342	1.9499999999999998e-30	237561
Calb_Hyr1	XP_036663836.1	404		XM_036806951	no-ends	Candida parapsilosis	NA	91	29.677	28	324	40	347	4.22e-28	5480
Calb_Hyr1	XP_002546744.1	328		XM_002546698	no-ends	Candida tropicalis	MYA-3404	100	28.221	1	324	11	326	4.53e-28	294747
Calb_Hyr1	XP_006684896.1	361	no-right	XM_006684833	no-ends	Yamadazyma tenuis	ATCC 10573	99	30.882	2	324	31	361	4.19e-27	590646
Calb_Hyr1	XP_036662815.1	1429		XM_036810545	no-ends	Candida parapsilosis	NA	82	35.74	27	294	38	313	7.470000000000001e-27	5480
Calb_Hyr1	XP_717775.2	1244		XM_712682	no-ends	Candida albicans	SC5314	91	31.715	28	324	38	342	4.89e-26	237561
Calb_Hyr1	XP_002547891.1	669		XM_002547845	no-ends	Candida tropicalis	MYA-3404	93	28.896	4	306	14	309	2.98e-24	294747
Calb_Hyr1	XP_002550387.1	588		XM_002550341	no-ends	Candida tropicalis	MYA-3404	91	30.693	28	324	37	320	7.279999999999999e-23	294747
Calb_Hyr1	XP_002419002.1	1268		XM_002418957	no-ends	Candida dubliniensis	CD36	88	30.333	28	315	38	334	2.3000000000000004e-21	573826
Calb_Hyr1	XP_003959094.1	805		XM_003959045	no-ends	Kazachstania africana	CBS 2517	66	32.035	106	322	115	336	3.42e-20	1071382
Calb_Hyr1	XP_036665263.1	2273		XM_036808536	no-ends	Candida parapsilosis	NA	82	35.507	28	294	39	313	4.86e-20	5480
Calb_Hyr1	XP_002614819.1	402		XM_002614773	no-ends	Clavispora lusitaniae	ATCC 42720	95	27.301	5	313	15	322	1.35e-19	306902
Calb_Hyr1	XP_002614815.1	674		XM_002614769	no-ends	Clavispora lusitaniae	ATCC 42720	95	29.102	5	313	15	323	5.81e-18	306902
Calb_Hyr1	XP_020067797.1	472	no-right	XM_020217446	no-ends	Cyberlindnera jadinii	NRRL Y-1542	63	31.081	109	313	115	325	3.12e-16	983966
Calb_Hyr1	XP_002615218.1	1442		XM_002615172	no-ends	Clavispora lusitaniae	ATCC 42720	98	28.994	5	324	15	336	2.37e-14	306902
Calb_Hyr1	XP_002614120.1	624	no-right	XM_002614074	no-ends	Clavispora lusitaniae	ATCC 42720	80	28.676	53	313	64	323	1.44e-13	306902
Calb_Hyr1	XP_002620045.1	231		XM_002619999	no-ends	Clavispora lusitaniae	ATCC 42720	64	26.697	103	312	18	230	2.86e-11	306902
Calb_Hyr1	XP_001527307.1	947		XM_001527257	no-ends	Lodderomyces elongisporus	NRRL YB-4239	66	27.876	108	324	123	333	7.37e-11	379508
Calb_Hyr1	XP_003958926.1	1072		XM_003958877	no-ends	Kazachstania africana	CBS 2517	57	27.179	136	322	146	332	3.14e-10	1071382
Calb_Hyr1	XP_002614121.1	1143		XM_002614075	no-ends	Clavispora lusitaniae	ATCC 42720	64	28.761	106	313	113	323	3.28e-10	306902
Calb_Hyr1	XP_020068387.1	935		XM_020216654	no-ends	Cyberlindnera jadinii	NRRL Y-1542	54	29.032	136	313	145	322	6.4e-10	983966
Calb_Hyr1	XP_002999585.1	3241		XM_002999539	no-ends	Candida glabrata	NA	91	28.896	25	321	43	335	5.24e-8	5478
Calb_Hyr1	XP_007375135.1	459		XM_007375073	no-ends	Spathaspora passalidarum	NRRL Y-27907	60	30.846	109	305	90	277	1.13e-7	619300
Calb_Hyr1	XP_007376669.1	1945	no-right	XM_007376607	no-ends	Spathaspora passalidarum	NRRL Y-27907	61	29.665	108	307	113	310	1.22e-6	619300
Calb_Hyr1	XP_018713478.1	218		XM_018859422		Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	56	28.788	130	313	19	207	4.17e-6	869754
Calb_Hyr1	XP_003956397.1	286		XM_003956348	no-ends	Kazachstania africana	CBS 2517	63	25	83	289	83	283	8.05e-6	1071382
Cgla_Hyr1	XP_445977.1	965		XM_445977	no-ends	Candida glabrata	NA	100	100	1	328	14	341	0	5478
Cgla_Hyr1	XP_447567.2	1771		XM_447567	no-ends	Candida glabrata	NA	99	52.308	4	328	15	333	2.11e-92	5478
Cgla_Hyr1	XP_003672684.1	476		XM_003672636	no-ends	Naumovozyma dairenensis	CBS 421	95	42.767	16	328	26	328	1.7e-63	1071378
Cgla_Hyr1	XP_022466292.1	1196		XM_022609947	no-ends	Kazachstania naganishii	CBS 8797	97	43.963	8	328	21	333	1.12e-61	1071383
Cgla_Hyr1	XP_003678549.1	773		XM_003678501	no-ends	Naumovozyma castellii	CBS 4309	98	41.411	5	328	18	331	2.72e-61	1064592
Cgla_Hyr1	XP_022466281.1	1096		XM_022609935	no-ends	Kazachstania naganishii	CBS 8797	97	43.653	8	328	46	358	6.279999999999999e-61	1071383
Cgla_Hyr1	XP_003671892.1	867		XM_003671844	no-ends	Naumovozyma dairenensis	CBS 421	97	42.901	10	328	19	327	1.75e-54	1071378
Cgla_Hyr1	XP_452176.1	766		XM_452176	no-ends	Kluyveromyces lactis	NA	90	30.921	30	326	50	340	1.28e-19	28985
Cgla_Hyr1	XP_003957739.1	238		XM_003957690	no-ends	Kazachstania africana	CBS 2517	66	32	73	289	12	232	1.01e-17	1071382
Cgla_Hyr1	XP_003958230.1	251		XM_003958181	no-ends	Kazachstania africana	CBS 2517	72	29.461	80	317	18	238	6.74e-10	1071382
Cgla_Hyr1	XP_003956376.1	626		XM_003956327	no-ends	Kazachstania africana	CBS 2517	75	30.522	73	320	2	232	4.46e-9	1071382
Cgla_Hyr1	XP_022464879.1	1099		XM_022608377	no-ends	Kazachstania naganishii	CBS 8797	75	29.885	73	320	80	324	5.34e-7	1071383
Cgla_Hyr1	XP_007373711.1	520		XM_007373649		Spathaspora passalidarum	NRRL Y-27907	95	29.154	1	312	10	288	3.94e-6	619300
Calb_Hyr1	KAG2734361.1	960	NA	NA	NA	Scheffersomyces stipitis	NRRL Y-7124	95	40.635	17	324	26	337	2.73e-63	913138
Calb_Hyr1	KAG2735578.1	2707	NA	NA	NA	Scheffersomyces stipitis	NRRL Y-7124	96	41.304	13	324	5	321	3.7899999999999997e-62	913138
Calb_Hyr1	KAG2733521.1	2206	NA	NA	NA	Scheffersomyces stipitis	NRRL Y-7124	95	40.694	17	324	26	337	1.14e-59	913138
Calb_Hyr1	KAG2731421.1	1555	NA	NA	NA	Scheffersomyces stipitis	NRRL Y-7124	96	38.245	13	324	25	341	7.9200000000000005e-59	913138
Calb_Hyr1	KAG2732535.1	2212	NA	NA	NA	Scheffersomyces stipitis	NRRL Y-7124	95	40.379	17	324	26	337	2.44e-56	913138
Calb_Hyr1	KAG2731009.1	1257	NA	NA	NA	Scheffersomyces stipitis	NRRL Y-7124	87	37.895	13	294	22	305	1.41e-53	913138
Cgla_Hyr1	KAG2733788.1	1523	NA	NA	NA	Scheffersomyces stipitis	NRRL Y-7124	94	29.747	13	320	26	329	2.3000000000000004e-21	913138
